"state","num_residents_2015_white_nh","num_residents_2015_black_nh","num_residents_2016_white_nh","num_residents_2016_black_nh","num_residents_2017_white_nh","num_residents_2017_black_nh","num_residents_2018_white_nh","num_residents_2018_black_nh","num_residents_2019_white_nh","num_residents_2019_black_nh","num_incarcerated_2015_black_nh","num_incarcerated_2016_black_nh","num_incarcerated_2017_black_nh","num_incarcerated_2018_black_nh","num_incarcerated_2019_black_nh","num_incarcerated_2015_white_nh","num_incarcerated_2016_white_nh","num_incarcerated_2017_white_nh","num_incarcerated_2018_white_nh","num_incarcerated_2019_white_nh","white_incarceration_rate_2015","white_incarceration_rate_2016","white_incarceration_rate_2017","white_incarceration_rate_2018","white_incarceration_rate_2019","black_incarceration_rate_2015","black_incarceration_rate_2016","black_incarceration_rate_2017","black_incarceration_rate_2018","black_incarceration_rate_2019","white_incarceration_rate_2015_2019","black_incarceration_rate_2015_2019","incarceration_RR"
"Maryland",4139918,2450328,4084456,2456800,4027944,2466910,3967398,2469904,3906130,2474686,12689,12610,12421,12324,12364,4889,4838,4603,4333,4093,118.094126502023,118.449066411782,114.276663230671,109.215158146473,104.784018965063,517.849038985801,513.269293389775,503.504384026981,498.966761461174,499.618941554605,112.963806651202,506.641683883667,4.48499124545283
"Massachusetts",6733722,659894,6674604,672938,6616556,685786,6547416,694562,6472558,704002,2607,2491,2400,2259,2212,3927,3691,3561,3425,3093,58.3184158775786,55.2991608191287,53.8195399540184,52.3107131118597,47.7863620534571,395.063449584327,370.167831211791,349.963399661119,325.240943213133,314.203652830532,53.5068383632085,350.92785530018,6.55856085007407
"Michigan",9901560,1857034,9836042,1848032,9769388,1838472,9689962,1826526,9593152,1815248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minnesota",5874876,425288,5842926,443946,5811404,463070,5777332,481412,5737520,501016,3828,3652,3723,3679,3630,4955,4982,5039,4634,4655,84.3422056908095,85.2654988271287,86.7088228593297,80.2100346665208,81.1326147882709,900.095934989936,822.622571213616,803.98211933401,764.21028142215,724.527759592508,83.5318353664119,803.087733310444,9.61415165592501
"Mississippi",2186306,1500938,2170806,1502050,2153478,1500744,2128268,1491950,2109916,1482896,12283,12167,11903,12025,12033,6396,6779,6952,6977,7122,292.548252623375,312.280323529601,322.826608862501,327.825255090054,337.548982992688,818.354922055408,810.026297393562,793.139935925115,805.992157914139,811.452724938229,318.605884619644,807.79320764529,2.53539952223307
"Missouri",6336342,951232,6307564,951694,6278978,950568,6244628,948744,6206806,944402,10185,9799,9323,8180,7221,19204,19345,19385,17968,14950,303.077075069496,306.695263020716,308.728586085188,287.73531425731,240.864625058363,1070.71671264213,1029.63767765689,980.782016646889,862.192540875094,764.610833098617,289.420172698215,941.587956183925,3.25335980351909
"Montana",1157182,7460,1157388,7800,1158518,8040,1156944,8146,1155222,8364,29,50,90,88,130,1261,1785,2713,2747,3346,108.971622441414,154.226586071395,234.178493558149,237.435865521581,289.641298382475,388.739946380697,641.025641025641,1119.40298507463,1080.28480235698,1554.28024868484,204.890773195003,956.746724704558,4.66954519125165
"Nebraska",1961416,118092,1951812,120518,1939354,121812,1926138,123934,1912632,125400,1434,1487,1520,1540,1573,2949,2842,2790,2863,2922,150.350563062604,145.608286043943,143.862337665016,148.639401745877,152.773769339842,1214.30748907631,1233.84058812791,1247.824516468,1242.59686607388,1254.38596491228,148.246871571456,1238.59108493168,8.3549222442422
"Nevada",1901950,331762,1892204,345672,1883346,360590,1883986,374314,1882522,386738,3711,4090,4182,4222,3996,5617,5739,5708,5609,5181,295.328478666632,303.297107500037,303.07760761963,297.719834436137,275.215907171337,1118.57295289997,1183.20257353792,1159.76593915527,1127.93002666211,1033.25765763902,294.927787078755,1124.54582997886,3.81295313377363
"New Hampshire",1640170,23940,1632388,25432,1625366,26684,1615228,28022,1605570,29498,194,211,NA,NA,NA,2442,2351,NA,NA,NA,148.887005615272,144.022131993129,NA,NA,NA,810.359231411863,829.663416168606,NA,NA,NA,146.4545688042,820.011323790235,5.59908325486611
